track_id,track_name,artist,album,release_date,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
TRK1024,Song 24,Artist 14,Album 2,2010-01-25,197373,76,0.591,0.849,-28.26,0.25,0.069,0.752,0.963,0.15,108.76
TRK1025,Song 25,Artist 6,Album 6,2010-01-26,243684,2,0.678,0.658,-7.63,0.549,0.101,0.792,0.012,0.594,131.96
TRK1026,Song 26,Artist 2,Album 10,2010-01-27,130965,69,0.017,0.568,-7.6,0.715,0.018,0.79,0.97,0.381,169.71
TRK1027,Song 27,Artist 12,Album 4,2010-01-28,144538,71,0.512,0.094,-5.32,0.66,0.094,0.091,0.043,0.97,115.52
TRK1028,Song 28,Artist 5,Album 18,2010-01-29,228066,26,0.226,0.368,-3.47,0.28,0.683,0.494,0.891,0.842,147.09
TRK1029,Song 29,Artist 1,Album 12,2010-01-30,233252,8,0.645,0.265,-19.55,0.955,0.071,0.058,0.528,0.838,180.73
TRK1030,Song 30,Artist 12,Album 2,2010-01-31,259182,61,0.174,0.244,-19.94,0.738,0.319,0.55,0.993,0.469,192.93
TRK1031,Song 31,Artist 10,Album 10,2010-02-01,278338,36,0.691,0.973,-8.07,0.554,0.845,0.442,0.074,0.415,80.59
TRK1032,Song 32,Artist 6,Album 4,2010-02-02,218806,96,0.387,0.393,-14.0,0.612,0.023,0.888,0.554,0.273,189.72
TRK1033,Song 33,Artist 13,Album 14,2010-02-03,257982,50,0.937,0.892,-11.92,0.42,0.814,0.351,0.969,0.056,128.9
TRK1034,Song 34,Artist 12,Album 16,2010-02-04,230989,43,0.138,0.631,-8.17,0.248,0.282,0.117,0.523,0.865,96.15
TRK1035,Song 35,Artist 9,Album 15,2010-02-05,210982,23,0.341,0.795,-4.4,0.356,0.118,0.143,0.629,0.813,124.28
TRK1036,Song 36,Artist 1,Album 8,2010-02-06,241626,78,0.113,0.503,-26.48,0.758,0.697,0.762,0.696,1.0,197.2
TRK1037,Song 37,Artist 11,Album 14,2010-02-07,239176,58,0.925,0.577,-24.98,0.014,0.629,0.618,0.455,0.997,128.97
TRK1038,Song 38,Artist 11,Album 8,2010-02-08,251278,31,0.877,0.493,-36.24,0.116,0.877,0.101,0.628,0.555,106.03
TRK1039,Song 39,Artist 10,Album 16,2010-02-09,242409,95,0.258,0.195,-16.87,0.046,0.735,0.084,0.584,0.769,148.68
TRK1040,Song 40,Artist 12,Album 13,2010-02-10,143419,87,0.66,0.722,-38.56,0.041,0.803,0.701,0.901,0.945,93.62
TRK1041,Song 41,Artist 12,Album 18,2010-02-11,170015,51,0.817,0.281,-21.38,0.855,0.282,0.073,0.045,0.85,70.62
TRK1042,Song 42,Artist 14,Album 15,2010-02-12,242096,61,0.555,0.024,-18.29,0.704,0.177,0.822,0.281,0.247,78.04
TRK1043,Song 43,Artist 14,Album 13,2010-02-13,227059,57,0.53,0.645,-28.54,0.474,0.751,0.706,0.95,0.451,77.93
TRK1044,Song 44,Artist 14,Album 9,2010-02-14,230687,51,0.242,0.177,-16.37,0.098,0.807,0.081,0.89,0.129,81.27
TRK1045,Song 45,Artist 3,Album 15,2010-02-15,207939,11,0.093,0.94,-38.78,0.492,0.991,0.085,0.456,0.954,79.44
TRK1046,Song 46,Artist 12,Album 13,2010-02-16,269213,38,0.897,0.954,-38.51,0.473,0.413,0.987,0.62,0.606,149.72
TRK1047,Song 47,Artist 7,Album 1,2010-02-17,225878,1,0.9,0.915,-7.1,0.173,0.372,0.374,0.277,0.229,85.46
TRK1048,Song 48,Artist 4,Album 7,2010-02-18,284899,2,0.633,0.37,-25.59,0.434,0.776,0.371,0.188,0.672,108.39
TRK1049,Song 49,Artist 9,Album 9,2010-02-19,182623,55,0.339,0.015,-34.92,0.399,0.341,0.813,0.464,0.618,185.55
